SR,NR,TR,VR,SUR1,SUR2,SUR3,UR,FR,OR,RR,BR,MR,CR,Green frogs,Brown frogs,Common toad,Fire-bellied toad,Tree frog,Common newt,Great crested newt
30,1,1,2,2,7,6,0,0,75,0,1,0,1,0,1,1,0,0,1,0
1000,1,1,0,1,6,7,3,3,75,0,0,0,1,1,0,1,0,0,0,0
50,1,1,2,2,7,10,0,0,100,5,5,0,1,1,1,1,1,0,0,0
100,1,1,4,2,9,1,0,0,100,1,2,0,1,1,0,1,0,0,0,0
300,1,11,3,1,2,10,0,0,100,10,10,0,1,1,1,0,1,0,0,0
9100,1,1,0,7,10,2,3,3,100,5,5,0,1,1,0,0,0,0,0,0
500,2,1,0,2,9,1,3,3,100,1,2,0,1,0,0,1,0,0,0,0
1000,1,1,3,2,1,9,0,0,100,2,5,0,1,0,0,0,0,1,0,0
500,1,12,4,7,1,1,0,0,100,10,10,0,1,1,0,1,0,0,1,0
10050,1,1,2,1,10,6,0,1,100,5,5,0,1,0,1,1,1,0,1,1
300,1,14,1,2,10,10,0,0,100,5,5,0,1,0,1,1,0,1,0,0
10000,1,1,3,1,10,6,0,1,100,5,5,0,1,1,1,1,1,1,1,1
29000,3,1,2,10,6,1,3,3,100,2,0,0,1,1,1,1,1,1,1,1
8250,1,1,3,6,2,10,0,0,100,1,2,0,1,1,1,1,1,1,1,1
250,1,7,1,1,10,6,0,0,100,2,5,0,1,1,1,1,1,1,1,1
300,1,15,1,2,7,2,0,0,100,1,1,0,1,0,1,1,0,0,0,0
500000,9,1,3,10,6,2,3,3,75,1,1,0,1,1,1,1,1,1,1,1
50000,10,1,4,2,10,6,0,0,100,2,2,0,1,1,1,1,1,1,1,1
50,1,1,1,6,10,10,0,0,50,0,0,0,1,0,1,1,0,1,0,0
50,1,1,2,10,10,6,0,0,100,9,5,0,1,1,1,0,0,0,0,0
8300,2,1,2,1,10,6,3,3,100,2,2,0,1,1,1,1,0,1,0,0
1800,1,1,0,10,1,6,3,2,100,1,2,0,1,1,1,1,1,1,1,1
150,2,1,1,1,10,6,0,1,100,0,1,0,1,1,1,1,1,1,1,1
300,1,15,1,10,1,6,0,0,100,1,1,0,1,0,1,1,0,0,0,0
300,1,15,1,10,1,6,0,0,100,1,1,0,1,0,1,1,0,0,0,0
450,1,1,1,10,10,10,3,3,100,5,2,0,1,1,1,0,1,0,1,0
300,1,15,1,1,10,6,0,0,100,5,5,0,1,1,0,0,1,0,0,0
200,1,1,1,6,10,1,0,0,100,1,1,0,1,1,1,1,1,1,1,1
300,1,15,1,1,1,1,0,0,100,5,5,0,1,0,0,0,0,0,0,0
300,1,15,1,1,7,1,0,0,100,2,5,0,1,0,0,0,0,0,0,0
6300,3,1,0,7,1,5,0,0,100,2,1,0,1,1,1,1,0,0,0,0
3400,2,2,0,6,7,10,0,0,75,1,1,0,1,1,0,0,0,0,1,0
2400,2,1,0,2,6,10,3,4,75,1,1,0,1,1,0,0,0,0,0,0
360000,12,1,1,10,1,7,3,4,100,1,1,0,1,1,1,1,1,1,1,0
4100,5,1,1,1,10,2,3,3,100,0,1,0,1,1,1,1,0,1,0,0
1500,3,1,1,2,1,10,3,3,100,2,2,0,1,1,1,1,1,1,1,0
300,1,1,3,2,1,6,0,0,100,2,1,0,1,1,1,0,0,0,0,0
15000,2,1,2,2,1,10,3,3,100,0,1,0,1,1,1,1,0,0,1,0
2500,2,1,3,2,6,10,0,0,75,0,0,0,1,1,1,1,1,0,1,0
2400,1,1,2,2,10,1,0,1,100,1,1,0,1,1,1,1,0,1,1,0
300,1,12,3,2,10,1,0,0,100,1,1,0,1,1,1,1,1,1,0,0
2600,2,1,2,9,2,6,3,2,50,0,1,0,1,1,1,1,0,0,0,0
2000,1,1,3,9,2,6,0,0,50,0,0,0,1,1,1,1,0,0,0,0
26000,3,1,1,1,2,10,3,4,100,1,2,0,1,1,1,1,1,1,1,0
200,1,1,3,2,6,5,0,0,50,1,1,1,2,1,1,1,0,0,0,0
2300,1,1,2,1,1,6,0,0,100,2,1,0,1,1,1,1,0,1,1,0
300,1,12,3,1,2,10,0,0,100,1,2,0,1,0,1,0,0,0,0,0
1400,1,1,1,1,2,10,0,0,100,5,5,0,1,1,1,1,1,1,1,0
300,1,15,1,1,1,10,0,0,100,5,5,0,1,0,1,0,0,0,0,0
2600,1,1,2,2,10,6,0,0,50,0,0,0,1,1,1,1,0,1,0,0
300,1,14,1,2,7,10,0,0,100,2,0,0,1,0,1,1,1,0,0,0
22000,1,1,4,6,9,6,0,0,100,0,0,0,1,1,1,1,1,1,0,0
300,1,12,3,10,2,1,0,0,100,2,0,0,1,0,1,0,0,0,0,0
300,1,12,4,1,10,2,0,0,100,5,5,0,1,0,1,0,0,0,0,0
1000,2,1,3,2,6,1,0,0,100,0,1,0,1,1,1,1,1,1,1,1
300,1,15,1,1,1,9,0,0,100,0,1,0,1,0,1,0,0,0,0,0
200,1,1,1,6,6,2,0,0,75,0,0,0,1,0,1,1,1,1,1,1
300,1,14,2,2,9,7,0,0,75,0,2,0,1,0,1,0,0,0,0,0
1000,1,14,2,7,1,9,0,0,75,1,2,0,1,0,1,0,0,0,0,0
4000,2,1,1,4,6,9,3,2,80,1,1,0,1,1,1,1,0,1,1,1
200,1,12,3,10,1,6,0,0,100,1,2,0,1,0,1,1,0,0,0,0
4000,1,12,4,2,6,10,0,0,100,1,1,0,1,0,1,1,0,0,0,0
2300,1,12,3,2,2,1,0,0,75,2,1,0,1,0,1,0,0,0,0,0
300,1,14,2,7,10,2,0,0,100,5,5,0,1,1,1,1,1,0,1,0
300,1,12,3,2,6,10,0,0,100,1,1,0,1,0,1,1,0,0,0,0
